plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,observer,datetime,mutanta
16R4470:0004601,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004802,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004803,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004804,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004805,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004806,0,1,1,1,1,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4472:0004807,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004808,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004809,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004810,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004811,0,1,1,1,1,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4472:0004812,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004813,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4472:0004814,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004901,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004902,0,1,1,1,1,shorter_by_1_ft, , ,,toni,07/17/2016 12:00:00,
16R4473:0004903,0,1,0,1,1, , , ,,toni,07/17/2016 12:00:00,
,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004904,0,1,1,1,1, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004905,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004906,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004907,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4473:0004903:0004908,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
