plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R405:M0003705,116,08/28/2015 10:00:00,toni,,,,
15R405:M0003706,93,08/28/2015 10:00:00,toni,,,,
15R405:M0003707,122,08/28/2015 10:00:00,toni,,,,
15R405:M0003708,130,08/28/2015 10:00:00,toni,,,,
15R405:M0003709,86,08/28/2015 10:00:00,toni,,,,
15R405:M0003710,103,08/28/2015 10:00:00,toni,,,,
15R405:M0003711,112,08/28/2015 10:00:00,toni,,,,
15R405:M0003712,103,08/28/2015 10:00:00,toni,,,,
15R405:M0003714,95,08/28/2015 10:00:00,toni,,,,
15R405:M0003715,140,08/28/2015 10:00:00,toni,,,,
15R405:M0003717,135,08/28/2015 10:00:00,toni,,,,
15R405:M0003718,121,08/28/2015 10:00:00,toni,,,,
15R405:M0003719,122,08/28/2015 10:00:00,toni,,,,
15R405:M0003815,131,08/28/2015 10:00:00,toni,,,,
15R405:M0003814,127,08/28/2015 10:00:00,toni,,,,
15R405:M0003813,118,08/28/2015 10:00:00,toni,,,,
15R405:M0003812,110,08/28/2015 10:00:00,toni,,,,
15R405:M0003811,110,08/28/2015 10:00:00,toni,,,,
15R405:M0003810,122,08/28/2015 10:00:00,toni,,,,
15R405:M0003808,132,08/28/2015 10:00:00,toni,,,,
15R405:M0003807,131,08/28/2015 10:00:00,toni,,,,
15R405:M0003806,137,08/28/2015 10:00:00,toni,,,,
15R405:M0003805,112,08/28/2015 10:00:00,toni,,,,
15R405:M0003804,131,08/28/2015 10:00:00,toni,,,,
15R405:M0003803,92,08/28/2015 10:00:00,toni,,,,
15R405:M0003802,132,08/28/2015 10:00:00,toni,,,,
15R405:M0003801,124,08/28/2015 10:00:00,toni,,,,
15R405:M0003902,134,08/28/2015 10:00:00,toni,,,,
15R405:M0003903,141,08/28/2015 10:00:00,toni,,,,
15R405:M0003905,112,08/28/2015 10:00:00,toni,,,,
15R405:M0003906,122,08/28/2015 10:00:00,toni,,,,
15R405:M0003907,139,08/28/2015 10:00:00,toni,,,,
15R405:M0003908,139,08/28/2015 10:00:00,toni,,,,
15R405:M0003909,137,08/28/2015 10:00:00,toni,,,,
15R405:M0003910,138,08/28/2015 10:00:00,toni,,,,
15R405:M0003911,137,08/28/2015 10:00:00,toni,,,,
15R405:M0003913,136,08/28/2015 10:00:00,toni,,,,
15R205:S0000408,132,08/28/2015 10:00:00,toni,,,,
15R205:S0000404,123,08/28/2015 10:00:00,toni,,,,
15R205:S0000403,129,08/28/2015 10:00:00,toni,,,,
15R205:S0000511,127,08/28/2015 10:00:00,toni,,,,
15R205:S0000513,124,08/28/2015 10:00:00,toni,,,,
15R205:S0000515,123,08/28/2015 10:00:00,toni,,,,
15R305:W0000602,153,08/28/2015 10:00:00,toni,,,,
15R305:W0000713,146,08/28/2015 10:00:00,toni,,,,
