"a4:ad204","found Dec, 2007",,,,,"maternal gtype",,,,,"paternal gtype",,,,,,,,,,,,,,,,,,
"crop","offspring family","ma family","ma num gtype","pa family","pa num gtype","pma ma gma gtype","pma ma gpa gtype","pma pa gma gtype","pma pa mutant","ma quasi","ppa pa gma gtype","ppa ma gpa gtype","ppa pa gma gtype","ppa pa mutant","num bc","num oc","pa quasi","cross date","ear","est cl","counted cl","current cl count","packet","box","sleeve","inventory date","plant 07r","plan","notes"
"06R",,300,"06R300:W000I504",55,"06R0055:0005515","W23","W23","W23","W23",,"Les2-N845A","+","M14","W23",0,1,"-K5515","7/22/2006","x",,,,,,,,,,
"06R",,300,"06R300:W000I507",61,"06R0061:0006106","W23","W23","W23","W23",,"W23","L317","+","Les8-N2005",1,0,"-K6106","7/22/2006","x",,,,,,,,,,
"06R",,300,"06R300:W000I518",97,"06R0097:0009707","W23","W23","W23","W23",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9707","7/24/2006","x",,,,,,,,,,
"06R",,300,"06R300:W000I805",112,"06R0112:0011201","W23","W23","W23","W23",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11201","7/24/2006","x",,,,,,,,,,
"06R",,300,"06R300:W000I810",112,"06R0112:0011205","W23","W23","W23","W23",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11205","7/24/2006","x",,,,,,,,,,
"06R",,300,"06R300:W000I815",40,"06R0040:0004003","W23","W23","W23","W23",,"Les6 NonExp","?","?","Les6 Exp",0,1,"-K4003","7/25/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I1202",76,"06R0076:0007616","W23","W23","W23","W23",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7616","7/22/2006","x",,,,,,,,,,
"06R",1006,300,"06R300:W00I1701",1,"06R0001:0000104","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les1",0,1,"-K0104","7/15/2006","x",,,,,,,,,,
"06R",1002,300,"06R300:W00I1702",1,"06R0001:0000104","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les1",0,1,"-K0104","7/13/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I1716",8,"06R0008:0000802","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les10",0,1,"-K0802","7/13/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2002",8,"06R0008:0000801","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les10",0,1,"-K0801","7/12/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2006",3,"06R0003:0000302","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les4",0,1,"-K0302","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2007",8,"06R0008:0000805","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les10",0,1,"-K0805","7/12/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2010",111,"06R0111:0011113","W23","W23","W23","W23",,"M14/W23","vms*-8522","M14/W23","vms*-8522",0,1,"-K1113","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2014",4,"06R0004:0000401","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les6",0,1,"-K0401","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2016",4,"06R0004:0000403","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les6",0,1,"-K0403","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I2717",76,"06R0076:0007614","W23","W23","W23","W23",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7614","7/25/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3207",54,"06R0054:0005401","W23","W23","W23","W23",,"?","?","?","Les1-N843",0,1,"-K5401","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3211",99,"06R0099:0009905","W23","W23","W23","W23",,"B73 Ht1","B73 Ht1","B73 Ht1","B73 Ht1",0,1,"-K9905","7/17/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3501",54,"06R0054:0005401","W23","W23","W23","W23",,"?","?","?","Les1-N843",0,1,"-K5404","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3503",7,"06R0007:0000707","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les9",0,1,"-K0707","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3512",59,"06R0059:0005909","W23","W23","W23","W23",,"+","+","+","Les6-N1451",0,1,"-K5909","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3802",60,"06R0060:0006002","W23","W23","W23","W23",,"W23","L317","+","Les7-N1461",1,0,"-K6002","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3809",7,"06R0007:0000709","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les9",0,1,"-K0709","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3811",97,"06R0097:0009709","W23","W23","W23","W23",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9709","7/17/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I3814",62,"06R0062:0006206","W23","W23","W23","W23",,"M14/W23","+","M14/W23","Les9-N2008",1,0,"-K6206","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I4214",84,"06R0084:0008414","W23","W23","W23","W23",,"+","Les*-N2397","+","Les*-N2397",0,1,"-K8414","7/25/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I4902",97,"06R0097:0009708","W23","W23","W23","W23",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9708","7/17/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I5302",70,"06R0070:0007012","W23","W23","W23","W23",,"+","M14","+","Les19-N2450",1,0,"-K7012","7/16/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I6901",14,"06R0014:0001407","W23","W23","W23","W23",,"Mo20W","+","Mo20W","Les18",0,1,"-K1407","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I6904",54,"06R0054:0005404","W23","W23","W23","W23",,"?","?","?","Les1-N843",0,1,"-K5406","7/16/2006","x",,,,,,,,,,
"06R","1403",300,"06R300:W00I8217","24","06R0024:0002405","W23","W23","W23","W23",,"W23","+","W23","Les8",1,0,"-K2405","7/00/2006","x",512,,,FALSE,1,4,10/13/2006,,,
"06R",1405,300,"06R300:W00I8308","28","06R0028:0002802","W23","W23","W23","W23",,"W23","+","W23","Les13",1,0,"-K2802","7/00/2006",,,,,,,,,,,
"06R",,300,"06R300:W00I8308",27,"06R0027:0002711","W23","W23","W23","W23",,"W23","+","W23","Les12",1,0,"-K2711","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I8311",28,"06R0028:0002805","W23","W23","W23","W23",,"W23","+","W23","Les13",1,0,"-K2805","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I8715",32,"06R0032:0003206","W23","W23","W23","W23",,"W23","+","W23","Les19",1,0,"-K3206","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I8904",32,"06R0032:0003208","W23","W23","W23","W23",,"W23","+","W23","Les19",1,0,"-K3208","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I8906",33,"06R0033:0003308","W23","W23","W23","W23",,"W23","+","W23","Les21",1,0,"-K3308","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I9208",47,"06R0047:0004707","W23","W23","W23","W23",,"Les15 NonExp","?","?","Les15 Exp",0,1,"-K4707","7/20/2006","x",,,,,,,,,,
"06R",,300,"06R300:W00I9214",55,"06R0055:0005515","W23","W23","W23","W23",,"Les2-N845A","+","M14","W23",0,1,"-K5515","7/20/2006","x",,,,,,,,,,
