sample num,plantID,image num,leaf,camera,observer,datetime,microscopy_sample
e01194,13R4107:0010902,0140,e3,aleph,avi,08/06/2013 17:33:48,
e01196,13R4109:0011304,0142,e2,aleph,avi,08/06/2013 17:35:55,
e01197,13R4109:0011304,0143,e3,aleph,avi,08/06/2013 17:37:38,
e01189,13R4109:0011305,0135,e2,aleph,avi,08/06/2013 17:24:30,
e01193,13R4109:0011305,0139,e3,aleph,avi,08/06/2013 17:30:41,
e01191,13R4110:0011606,0137,e2,aleph,avi,08/06/2013 17:26:46,
e01192,13R4110:0011606,0138,e3,aleph,avi,08/08/2013 17:28:41,
e01185,13R4110:0011607,0131,e2,aleph,avi,08/06/2013 17:16:45,
e01188,13R4110:0011607,0134,e3,aleph,avi,08/06/2013 17:23:10,
e01182,13R4111:0011911,0128,e4,aleph,avi,08/06/2013 17:04:24,
e01184,13R4111:0011911,0130,e3,aleph,avi,08/06/2013 17:14:12,
e01201,13R4111:0011912,0147,e3,aleph,avi,08/06/2013 17:44:24,
e01203,13R4112:0012302,0149,e3,aleph,avi,08/06/2013 17:46:23,
e01195,13R4112:0012303,0141,e3,aleph,avi,08/06/2013 17:34:50,
e01206,13R4112:0012304,0152,e3,aleph,avi,08/06/2013 17:50:11,
e01202,13R4113:0012609,0148,e3,aleph,avi,08/06/2013 17:45:28,
e01183,13R4113:0012610,0129,e3,aleph,avi,08/06/2013 17:05:42,
e01199,13R4114:0012805,0145,e2,aleph,avi,08/06/2013 17:41:09,
e01200,13R4114:0012805,0146,e5,aleph,avi,08/06/2013 17:43:23,
e01207,13R4115:0012909,0153,e4,aleph,avi,08/06/2013 17:52:04,
e01198,13R4115:0012910,0144,e5,aleph,avi,08/06/2013 17:39:42,
e01181,13R4196:0013014,0127,e4,aleph,avi,08/06/2013 17:03:00,
e01180,13R4196:0013018,0126,e4,aleph,avi,08/06/2013 17:01:37,
e01271,13R4137:0017102,0217,t-3,aleph,avi,08/07/2013 12:43:27,
e01259,13R3884:0018205,0205,t-1,aleph,avi,08/07/2013 12:02:57,
e01220,13R3884:0018206,0166,t-2,aleph,avi,08/07/2013 10:37:00,
e01266,13R4142:0018303,0212,t-2,aleph,avi,08/07/2013 12:11:06,
e01232,13R4142:0018305,0178,t-2,aleph,avi,08/07/2013 11:04:09,
e01215,13R4143:0018508,0161,e1,aleph,avi,08/07/2013 10:31:04,
e01221,13R4143:0018509,0167,e1,aleph,avi,08/07/2013 10:37:59,
e01222,13R4143:0018509,0168,e1,aleph,avi,08/07/2013 10:39:22,
e01252,13R4144:0018705,0198,e2,aleph,avi,08/07/2013 11:54:11,
e01253,13R4144:0018705,0199,e1,aleph,avi,08/07/2013 11:55:45,
e01210,13R4144:0018706,0156,e2,aleph,avi,08/07/2013 10:15:08,
e01211,13R4144:0018706,0157,e1,aleph,avi,08/07/2013 10:16:40,
e01230,13R4145:0018805,0176,e4,aleph,avi,08/07/2013 11:01:40,
e01223,13R4145:0018806,0169,e2,aleph,avi,08/07/2013 10:41:12,
e01250,13R4145:0018815,0196,e7,aleph,avi,08/07/2013 10:05:57,
e01231,13R4148:0019101,0177,t-1,aleph,avi,08/07/2013 11:03:09,
