"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N1601:0006501",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N1601:0006502",1,0,0,0,0,,,,"toni",,
"11N1601:0006503",1,0,0,0,0,,,,"toni",,
"11N1601:0006504",0,1,0,0,0,,,,"toni",,
"11N1601:0006505",1,0,1,1,0,,,,"toni",,
"11N1601:0006506",1,0,0,0,0,,,,"toni",,
"11N1601:0006507",1,0,0,0,0,,"small ear",,"toni",,
"11N1601:0006508",1,0,0,0,0,,,,"toni",,
"11N1601:0006509",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3219:0006601",1,0,0,0,0,,,,"toni",,
"11N3219:0006602",1,0,0,0,0,,,,"toni",,
"11N3219:0006605",0,1,1,1,"shorter_by_1ft",,"small ear",,"toni",,
"11N3219:0006606",0,1,0,0,0,,,,"toni",,
"11N3219:0006609",0,1,0,0,0,,,,"toni",,
"11N3219:0006610",0,1,1,1,0,,,,"toni",,
"11N3219:0006611",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3219:0006612",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3360:0006701",0,1,0,0,0,,,,"toni",,
"11N3360:0006702",1,0,0,0,0,,,,"toni",,
"11N3360:0006704",0,1,1,1,0,,,,"toni",,
"11N3360:0006708",0,1,1,1,0,,"small ear",,"toni",,
"11N3360:0006709",0,1,1,1,0,,,,"toni",,
"11N3360:0006710",0,1,0,0,"shorter_by_1ft",,,,"toni",,
"11N3360:0006712",1,0,0,0,0,,,,"toni",,
"11N3220:0006801",0,1,0,0,0,,,,"toni",,
"11N3220:0006802",0,1,1,1,0,,,,"toni",,
"11N3220:0006803",1,0,0,0,"shorter_by_1ft",,"small ear",,"toni",,
"11N3220:0006805",0,1,0,0,0,,,,"toni",,
"11N3220:0006806",1,0,0,0,0,,"small ear",,"toni",,
"11N3220:0006807",0,1,1,1,0,,,,"toni",,
"11N3220:0006810",0,1,1,1,0,,,,"toni",,
"11N3220:0006811",1,0,0,0,0,,,,"toni",,
"11N3394:0006901",1,0,0,0,0,,,,"toni",,
"11N3394:0006902",1,0,0,0,0,,"small ear",,"toni",,
"11N3394:0006905",0,1,1,1,0,,,,"toni",,
"11N3394:0006907",1,0,0,0,0,,,,"toni",,
"11N3394:0006908",1,0,0,0,0,,,,"toni",,
"11N3228:0007001",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N3228:0007002",1,0,0,0,0,,,,"toni",,
"11N3228:0007003",0,1,1,1,"shorter_by_3ft",,,,"toni",,
