plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
16R4514:0011810,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011811,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011901,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4515:0011902,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011903,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4515:0011904,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4515:0011905,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011906,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011907,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011908,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011909,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4515:0011909,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011910,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4515:0011911,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
16R4516:0012002,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4516:0012003,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4516:0012004,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4516:0012005,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4516:0012006,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4170:0012101,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4170:0012102,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4027:0012202,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4297:0012306,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4298:0012402,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4298:0012404,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4298:0012405,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4298:0012407,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4399:0012501,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4399:0012504,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
